,permid2,Mkt_RF_coef,bm_coef,MomentumL6m_coef,mkt_cap_coef,const_coef
0,imqPbj4yARj8V3isZ9iWpo,0.38743814241501645,0.2623448771914581,0.21761779509687562,0.07756240386766883,-0.714995623244453
1,ZCSk9TNhrtDvkQC6LnuS6w,0.32955268816231265,0.3617997078354137,-0.013494694816002047,0.12046059064335585,-1.238635376043816
2,V54qcfwzC4iy3yQtHE7HsB,0.8674299024701168,0.1939904553945852,0.15350033116392325,0.06666689893285471,-0.7087033581704447
3,jm3UerWQsuMxDo5P6jW7hC,0.1374103500618104,0.5773374936125538,-0.07715938567386273,0.43519652879032117,-3.5643426260858764
4,PYtjpRhTaZxNteoVNdULfg,0.6063111778843534,-0.008832590852858339,-0.09198576009627209,0.005113366905379668,-0.04861714915459929
5,PKXuAespjGjzcuUKNF4rZn,0.49473978326597123,0.12649850782395725,-0.1472961626747272,0.06023222059903416,-0.710905704994177
6,HGQiTm4HsxoqVVWS5kUE99,0.5252839183712897,-0.09159672549069678,0.036736214686290104,0.01951620266241838,-0.1448980571320672
7,kbpPKwDEUPmBJHpG7GgSPZ,0.5123378935063414,0.011898171481743818,0.5035782603676922,0.04048859709407571,-0.401735880911519
8,hTHnxm9JLaHiYswtuvatqx,0.8040283597226144,0.2781784177447841,-0.055692039952748316,0.025861292837176197,-0.32767096511455834
9,6TkK9DAuBqYmvfRNWV2PpD,0.49005768368696423,0.15558678432712816,-0.653510791301827,0.7412512255034922,-6.93253582030395
10,f3EdUrbFWC7uDfUzbrv43o,0.6647621988421197,0.3793508683168487,-0.0030464044687497412,0.10074210441888054,-1.178982376186874
11,TqsiMT6B5bUNfVr7P6yMNL,0.6273373906484935,0.19981117739965018,0.09947156950881537,0.0418925929388233,-0.5253891424636402
12,UJAiFXXpCGBkpiP3tdVHHu,0.4420081681037809,0.17271094695986797,-0.32073794922043275,0.24493211618876393,-2.184553713942677
13,HnWB3fVb8iLqAB5EjUTt9G,0.3912174179545347,0.16375140329954369,-0.8848769896430934,0.579753579349781,-5.014218794670621
14,Dr8pJWXLHs2hVrNa7UYz7R,0.5002827193927778,0.21398232720849575,-0.22703942595088733,0.2987205238180016,-2.990112692881157
15,7ChHqVWAxPdFUmxQvnbfHP,0.6101063004246586,0.13246201151452383,-0.12805634775065144,0.03611030558159023,-0.32930692122670724
16,h8mdfyYrZojFcnSPozQKvy,0.7286859647334701,-0.33413949789121095,0.18617728181726456,-0.018869347732079822,0.2054880459869039
17,TQri3gB5P6hxtLxB2e62Z4,0.3125335106664223,0.3261090007308585,-1.1901162387937883,0.8783419533252635,-7.784153922244338
18,PCejfMbqEBestho4vkea7Y,0.6771008598714813,0.04518839079169422,-0.4544878970430184,0.022961069621129537,-0.2316549748551027
19,mqyrVYeQQkrSQrVRvD6YdF,0.4085237751901619,0.13495881076655322,0.01229632599608549,0.057026752330310015,-0.49801522987665103
20,Y7mLz8r6bbr5NJZba54Tyx,1.8093284567162646,0.7103683854596211,-0.47280005104094397,0.6474483537832276,-5.902726263493592
21,32fSufPaCL5edsVwHbG2Um,0.7513989253352192,-0.011265529655330009,-0.05246447173834946,0.0872395385782666,-0.7303805923497169
22,ZukbiPpu9SSBod3tLMzGxY,0.4175156424594295,0.3105969207788994,-1.4288210305279543,0.9020077419342073,-8.260979042769371
23,o8RzGDHu7cSFLN4mFzzRjq,0.5745482311938809,-0.01013215201436045,0.0037800440420715903,0.07298182941794629,-0.7257671854238731
24,ZFjeLjLgU7dv5iyga7hsgY,1.4015951750705586,0.0656450341372817,-0.08210082282589778,0.07030837336193807,-0.683473139278883
25,UTGgkeVoarZrQxwUMqUNoA,0.36829887856795246,0.07595641782693044,-0.15938373547636864,0.025307916324221746,-0.26576865903484787
26,9srBVHJpohKLcsLtLyqBai,0.36364584787036264,0.3331506084541458,-0.15762753829036538,0.013537066951597787,-0.19350919087282378
27,jPRfteNktefVafwhzdBUdm,0.11099618345931345,0.16386359216621663,-0.23994985570127744,0.43298746826133033,-4.485408330390313
28,CpUgd6efFeVXUThRR2t3FD,1.2148558959367017,0.11524183939102385,-0.03186412127917092,0.14384226656437504,-1.2117551067942465
29,VZfPNc9xyKeJLfLPVg5mLR,0.2478768050112034,0.056186105189552873,-0.12542196963773355,-0.0025987266697634626,0.004132451272389159
30,ihkCjSn5vRq3cesF4tgaB5,0.640399501652344,0.0018766368038514586,0.1803894788447911,0.04353905792339097,-0.3856668043509166
31,jhesKCLxRR7fFFX4d3TdMX,0.5476518911734611,0.011845560244208353,-0.45246528351144866,0.4885645717769047,-4.6853942932204165
32,UiSbhLg2ckRt63sWnh2Q98,0.8099044596782765,0.043434083584389126,-0.17845334533768217,0.0541997272844984,-0.5043328988035107
33,T8ekQ5mDA8R2TPoCnpp4J8,0.04302368918436918,0.025822577488322274,-0.1208391536919996,-0.004206607707284517,0.021887451407812425
34,jMYBHN8QRiqAZ93Jd5eL3e,0.44663306030306626,0.19272822436561038,-0.2722993713153896,0.18405476021092487,-1.8235252896822747
35,miURUWkjEJZV4eaFzqqiMS,0.7803160080850821,0.060199908785533746,-0.1876810037842554,0.2639962906127199,-2.509077534155314
36,NFUuuZzTwkz9VwhzUpSpiw,0.5288054748837728,-0.02348357242909152,-0.23388329352075388,0.1273048089877704,-1.079522877203238
37,QteY4BzYKuLnhsugLRGaeh,0.014928949129272534,0.8853656356696644,0.005185626150711209,0.1492273179954887,-1.2418668504538146
38,FkChDGfQAnUU3Fx8HhcD6v,0.7631127267621293,0.10125275754494523,0.03763958064128909,0.048571492698685104,-0.4760479556904853
39,K6ZuS84sAmQcbjxnkpnB4D,1.1046622443884369,0.11449125407587202,0.03910101081023157,0.40205854935614305,-3.410044370445489
40,nPuvtLFvCqc26NpFYuFYTh,0.3182709224834084,0.06737483732493277,-0.13656228730839215,0.11155337585430725,-1.200932816735603
41,XSteKD7AzERvxjVon6EnBW,0.42519198923007756,0.29710051384441305,-0.04003743244912966,0.11616818743183499,-1.0923301750712398
42,35dUggui6ND2LmZXQdkZUx,0.6463207936366326,0.30003652936835384,0.24736384894577967,0.1323546174647141,-1.1741620800509849
43,jSWM2WfuLaE7k99dG6PXUq,0.5916908997053381,0.11171611159547692,-0.29093466679551416,0.14823889328417716,-1.410431558443968
44,kgVrqH9HV3djSKJrRr64LG,0.712159723793407,0.02211526293137029,0.1025802861683636,-0.00023154145763559786,-0.025294670379834492
45,V87groxpFKKNabLCDmRi36,-0.016692888989714216,0.20141025690262407,-0.32859375285183,0.4042672585576461,-3.3811064212254074
46,T88xxsmREhU8F2SxHPW9rz,1.0404682091840265,0.11166190675218005,0.12072191659753431,0.3312729174730811,-2.875406850755001
47,XYFKZsJHWRostk5mmaFtaC,0.08984313288338164,0.354301394350475,-0.18220648417436353,0.23233199687196338,-1.946974652079132
48,HJVyp7wiMUDUCWc6ALoEDB,0.8985395439100461,0.11536783450092108,0.02007081763118209,0.2763989413052097,-2.4407524370069646
49,RXiGqBH7fUUiJ6NC4NpWab,0.5247540144033921,0.4107015604740064,0.346693420178552,0.22098385677297638,-2.270653663984232
50,9fYwpw4KHSckkXGVWkEkZc,0.6294141126320474,-0.0023369827021791287,0.034033225855867336,-0.011457284329890127,0.11898319556514869
51,f5LngE6CCUMkHD64h23jDL,0.610238412848219,0.09251023471235889,0.1823684648953039,0.051408205897929715,-0.5569255449564953
52,Ko2DNPmRx65RLpbSDih932,0.8376361041202692,0.46972338543106956,-0.5802926671971581,0.7711226973672345,-6.460998164265937
53,EHhTwHunB3LXtggqzDX47L,0.4608941530707443,-0.015427453277830183,-0.21641248449450937,0.12156376188632484,-1.114718923451402
54,LoM7j74uywF4XW2DLXRA2W,1.0842497542667247,0.02725855186505366,-1.7342228043593397,0.2434899940516222,-2.3158781989223733
55,EEnMY8puhxAiSrGVRXw9D5,0.2551349918172074,0.13624188460457382,0.004846136153312738,0.2142870180185522,-1.7004414474929241
56,b76p5BEqrAAqUWLNnQUxxm,0.8693509069934656,0.1845467931212506,0.27929661555516566,0.08968482830719027,-0.8518713655687743
57,eHZCi34DRsLnQiCx7bru5u,1.2139529535368079,0.035518096300386,0.08937832839390916,0.024163814456061417,-0.24069955251067124
58,BdJWBceJNkm46CCw4qvtxp,1.2139529535368079,0.035518096300386,0.08937832839390916,0.024163814456061417,-0.24069955251067124
59,epYC2nxezqTrDh2GYPzYMx,0.9181353931593064,0.07989945355794728,0.08220053139074773,0.27148309050122355,-2.251310978412645
60,4c5oQ6WiNHaqpdgtjJTz2i,0.7002678004521187,0.14322775700864293,-1.9110338063433108,0.3839730311351833,-3.713578946868078
61,bPoxwXxCRcq7WfSjcWy9dz,0.8668984949802736,0.0274006687013486,0.07067768012303993,0.01493399845165777,-0.15833565529920396
62,fF7SGmLRbCrVHEirF4bcMA,0.2278142780293254,0.12108063728733623,0.04155646438821064,0.1336225188410299,-1.19502779807375
63,E9untxqshNn3XLXDVdJaef,0.4826438427566039,0.5198550786814352,-0.06718786435804865,0.05249873943247718,-0.6475695388973314
64,99GW5XwyFWSut7vc6BNEVL,0.6385752212610434,0.11036639424510203,0.04146167780586816,0.3437422472899264,-2.947251806123185
65,o6Vye3XBCK4Z96zqEphUjN,1.0681865653711418,0.07803325902822056,-0.03903892610489207,0.15478670092706381,-1.530578335308148
66,N8Fri24wRAmMPsTjg3MhkD,0.349362167504194,0.02928242964651411,0.15613549338221444,0.003430051895703834,-0.051679819627709754
67,itUabkawY2EQac7G2nwCTf,0.4006614619785118,0.5735533015505979,-1.5919569625112908,0.14095746584000007,-1.5560297459154455
